Date,Sector,Ticker,Change(%)
2026-02-14,Real Estate,XLRE,1.47
2026-02-14,Healthcare,XLV,1.07
2026-02-14,Materials,XLB,0.91
2026-02-14,Industrials,XLI,0.82
2026-02-14,Energy,XLE,0.69
2026-02-14,Consumer Staples,XLP,0.34
2026-02-14,Technology,XLK,0.25
2026-02-14,Consumer Discretionary,XLY,0.04
2026-02-14,Communication Services,XLC,-0.05
2026-02-14,Financials,XLF,-0.08
2026-02-14,Utilities,XLU,2.76
2026-02-14,Real Estate,XLRE,1.47
2026-02-14,Healthcare,XLV,1.07
2026-02-14,Materials,XLB,0.91
2026-02-14,Industrials,XLI,0.82
2026-02-14,Energy,XLE,0.69
2026-02-14,Consumer Staples,XLP,0.34
2026-02-14,Technology,XLK,0.25
2026-02-14,Consumer Discretionary,XLY,0.04
2026-02-14,Communication Services,XLC,-0.05
2026-02-14,Financials,XLF,-0.08
2026-02-15,Utilities,XLU,2.76
2026-02-15,Real Estate,XLRE,1.47
2026-02-15,Healthcare,XLV,1.07
2026-02-15,Materials,XLB,0.91
2026-02-15,Industrials,XLI,0.82
2026-02-15,Energy,XLE,0.69
2026-02-15,Consumer Staples,XLP,0.34
2026-02-15,Technology,XLK,0.25
2026-02-15,Consumer Discretionary,XLY,0.04
2026-02-15,Communication Services,XLC,-0.05
2026-02-15,Financials,XLF,-0.08
2026-02-15,Utilities,XLU,2.76
2026-02-15,Real Estate,XLRE,1.47
2026-02-15,Healthcare,XLV,1.07
2026-02-15,Materials,XLB,0.91
2026-02-15,Industrials,XLI,0.82
2026-02-15,Energy,XLE,0.69
2026-02-15,Consumer Staples,XLP,0.34
2026-02-15,Technology,XLK,0.25
2026-02-15,Consumer Discretionary,XLY,0.04
2026-02-15,Communication Services,XLC,-0.05
2026-02-15,Financials,XLF,-0.08
2026-02-16,Utilities,XLU,2.76
2026-02-16,Real Estate,XLRE,1.47
2026-02-16,Healthcare,XLV,1.07
2026-02-16,Materials,XLB,0.91
2026-02-16,Industrials,XLI,0.82
2026-02-16,Energy,XLE,0.69
2026-02-16,Consumer Staples,XLP,0.34
2026-02-16,Technology,XLK,0.25
2026-02-16,Consumer Discretionary,XLY,0.04
2026-02-16,Communication Services,XLC,-0.05
2026-02-16,Financials,XLF,-0.08
2026-02-16,Utilities,XLU,2.76
2026-02-16,Real Estate,XLRE,1.47
2026-02-16,Healthcare,XLV,1.07
2026-02-16,Materials,XLB,0.91
2026-02-16,Industrials,XLI,0.82
2026-02-16,Energy,XLE,0.69
2026-02-16,Consumer Staples,XLP,0.34
2026-02-16,Technology,XLK,0.25
2026-02-16,Consumer Discretionary,XLY,0.04
2026-02-16,Communication Services,XLC,-0.05
2026-02-16,Financials,XLF,-0.08
2026-02-17,Utilities,XLU,2.76
2026-02-17,Real Estate,XLRE,1.47
2026-02-17,Healthcare,XLV,1.07
2026-02-17,Materials,XLB,0.91
2026-02-17,Industrials,XLI,0.82
2026-02-17,Energy,XLE,0.69
2026-02-17,Consumer Staples,XLP,0.34
2026-02-17,Technology,XLK,0.25
2026-02-17,Consumer Discretionary,XLY,0.04
2026-02-17,Communication Services,XLC,-0.05
2026-02-17,Financials,XLF,-0.08
2026-02-17,Financials,XLF,1.06
2026-02-17,Real Estate,XLRE,1.01
2026-02-17,Industrials,XLI,0.52
2026-02-17,Technology,XLK,-0.06
2026-02-17,Consumer Discretionary,XLY,-0.12
2026-02-17,Communication Services,XLC,-0.16
2026-02-17,Healthcare,XLV,-0.19
2026-02-17,Utilities,XLU,-0.26
2026-02-17,Energy,XLE,-1.1
2026-02-17,Materials,XLB,-1.14
2026-02-17,Consumer Staples,XLP,-1.46
2026-02-18,Financials,XLF,1.06
2026-02-18,Real Estate,XLRE,1.01
2026-02-18,Industrials,XLI,0.52
2026-02-18,Technology,XLK,-0.06
2026-02-18,Consumer Discretionary,XLY,-0.12
2026-02-18,Communication Services,XLC,-0.16
2026-02-18,Healthcare,XLV,-0.19
2026-02-18,Utilities,XLU,-0.26
2026-02-18,Energy,XLE,-1.1
2026-02-18,Materials,XLB,-1.14
2026-02-18,Consumer Staples,XLP,-1.46
2026-02-18,Energy,XLE,1.92
2026-02-18,Technology,XLK,1.03
2026-02-18,Consumer Discretionary,XLY,0.84
2026-02-18,Financials,XLF,0.75
2026-02-18,Materials,XLB,0.61
2026-02-18,Healthcare,XLV,0.19
2026-02-18,Communication Services,XLC,0.17
2026-02-18,Industrials,XLI,-0.02
2026-02-18,Consumer Staples,XLP,-0.18
2026-02-18,Real Estate,XLRE,-1.34
2026-02-18,Utilities,XLU,-1.66
2026-02-19,Energy,XLE,1.92
2026-02-19,Technology,XLK,1.03
2026-02-19,Consumer Discretionary,XLY,0.84
2026-02-19,Financials,XLF,0.75
2026-02-19,Materials,XLB,0.61
2026-02-19,Healthcare,XLV,0.19
2026-02-19,Communication Services,XLC,0.17
2026-02-19,Industrials,XLI,-0.02
2026-02-19,Consumer Staples,XLP,-0.18
2026-02-19,Real Estate,XLRE,-1.34
2026-02-19,Utilities,XLU,-1.66
2026-02-19,Utilities,XLU,1.1
2026-02-19,Industrials,XLI,0.74
2026-02-19,Energy,XLE,0.73
2026-02-19,Communication Services,XLC,0.48
2026-02-19,Healthcare,XLV,-0.26
2026-02-19,Real Estate,XLRE,-0.35
2026-02-19,Materials,XLB,-0.36
2026-02-19,Consumer Staples,XLP,-0.42
2026-02-19,Technology,XLK,-0.5
2026-02-19,Consumer Discretionary,XLY,-0.67
2026-02-19,Financials,XLF,-0.84
2026-02-20,Utilities,XLU,1.1
2026-02-20,Industrials,XLI,0.74
2026-02-20,Energy,XLE,0.73
2026-02-20,Communication Services,XLC,0.48
2026-02-20,Healthcare,XLV,-0.26
2026-02-20,Real Estate,XLRE,-0.35
2026-02-20,Materials,XLB,-0.36
2026-02-20,Consumer Staples,XLP,-0.42
2026-02-20,Technology,XLK,-0.5
2026-02-20,Consumer Discretionary,XLY,-0.67
2026-02-20,Financials,XLF,-0.84
2026-02-20,Communication Services,XLC,1.44
2026-02-20,Consumer Discretionary,XLY,1.04
2026-02-20,Real Estate,XLRE,0.83
2026-02-20,Financials,XLF,0.65
2026-02-20,Industrials,XLI,0.5
2026-02-20,Technology,XLK,0.48
2026-02-20,Utilities,XLU,0.48
2026-02-20,Consumer Staples,XLP,0.25
2026-02-20,Materials,XLB,0.25
2026-02-20,Healthcare,XLV,-0.28
2026-02-20,Energy,XLE,-0.54
2026-02-21,Communication Services,XLC,1.44
2026-02-21,Consumer Discretionary,XLY,1.04
2026-02-21,Real Estate,XLRE,0.83
2026-02-21,Financials,XLF,0.65
2026-02-21,Industrials,XLI,0.5
2026-02-21,Technology,XLK,0.48
2026-02-21,Utilities,XLU,0.48
2026-02-21,Consumer Staples,XLP,0.25
2026-02-21,Materials,XLB,0.25
2026-02-21,Healthcare,XLV,-0.28
2026-02-21,Energy,XLE,-0.54
2026-02-21,Communication Services,XLC,1.44
2026-02-21,Consumer Discretionary,XLY,1.04
2026-02-21,Real Estate,XLRE,0.83
2026-02-21,Financials,XLF,0.65
2026-02-21,Industrials,XLI,0.5
2026-02-21,Technology,XLK,0.48
2026-02-21,Utilities,XLU,0.48
2026-02-21,Consumer Staples,XLP,0.25
2026-02-21,Materials,XLB,0.25
2026-02-21,Healthcare,XLV,-0.28
2026-02-21,Energy,XLE,-0.54
2026-02-22,Communication Services,XLC,1.44
2026-02-22,Consumer Discretionary,XLY,1.04
2026-02-22,Real Estate,XLRE,0.83
2026-02-22,Financials,XLF,0.65
2026-02-22,Industrials,XLI,0.5
2026-02-22,Technology,XLK,0.48
2026-02-22,Utilities,XLU,0.48
2026-02-22,Consumer Staples,XLP,0.25
2026-02-22,Materials,XLB,0.25
2026-02-22,Healthcare,XLV,-0.28
2026-02-22,Energy,XLE,-0.54
2026-02-22,Communication Services,XLC,1.44
2026-02-22,Consumer Discretionary,XLY,1.04
2026-02-22,Real Estate,XLRE,0.83
2026-02-22,Financials,XLF,0.65
2026-02-22,Industrials,XLI,0.5
2026-02-22,Technology,XLK,0.48
2026-02-22,Utilities,XLU,0.48
2026-02-22,Consumer Staples,XLP,0.25
2026-02-22,Materials,XLB,0.25
2026-02-22,Healthcare,XLV,-0.28
2026-02-22,Energy,XLE,-0.54
2026-02-23,Communication Services,XLC,1.44
2026-02-23,Consumer Discretionary,XLY,1.04
2026-02-23,Real Estate,XLRE,0.83
2026-02-23,Financials,XLF,0.65
2026-02-23,Industrials,XLI,0.5
2026-02-23,Technology,XLK,0.48
2026-02-23,Utilities,XLU,0.48
2026-02-23,Consumer Staples,XLP,0.25
2026-02-23,Materials,XLB,0.25
2026-02-23,Healthcare,XLV,-0.28
2026-02-23,Energy,XLE,-0.54
2026-02-23,Consumer Staples,XLP,1.23
2026-02-23,Healthcare,XLV,1.1
2026-02-23,Utilities,XLU,0.76
2026-02-23,Energy,XLE,0.49
2026-02-23,Real Estate,XLRE,0.11
2026-02-23,Materials,XLB,0.0
2026-02-23,Communication Services,XLC,-1.23
2026-02-23,Industrials,XLI,-1.35
2026-02-23,Technology,XLK,-1.68
2026-02-23,Consumer Discretionary,XLY,-2.09
2026-02-23,Financials,XLF,-3.35
2026-02-24,Consumer Staples,XLP,1.23
2026-02-24,Healthcare,XLV,1.1
2026-02-24,Utilities,XLU,0.76
2026-02-24,Energy,XLE,0.49
2026-02-24,Real Estate,XLRE,0.11
2026-02-24,Materials,XLB,0.0
2026-02-24,Communication Services,XLC,-1.23
2026-02-24,Industrials,XLI,-1.35
2026-02-24,Technology,XLK,-1.68
2026-02-24,Consumer Discretionary,XLY,-2.09
2026-02-24,Financials,XLF,-3.35
2026-02-24,Consumer Discretionary,XLY,1.52
2026-02-24,Technology,XLK,1.3
2026-02-24,Industrials,XLI,1.23
2026-02-24,Utilities,XLU,1.11
2026-02-24,Consumer Staples,XLP,0.87
2026-02-24,Materials,XLB,0.76
2026-02-24,Communication Services,XLC,0.69
2026-02-24,Financials,XLF,0.49
2026-02-24,Real Estate,XLRE,0.28
2026-02-24,Energy,XLE,-0.09
2026-02-24,Healthcare,XLV,-0.42
2026-02-25,Consumer Discretionary,XLY,1.52
2026-02-25,Technology,XLK,1.3
2026-02-25,Industrials,XLI,1.23
2026-02-25,Utilities,XLU,1.11
2026-02-25,Consumer Staples,XLP,0.87
2026-02-25,Materials,XLB,0.76
2026-02-25,Communication Services,XLC,0.69
2026-02-25,Financials,XLF,0.49
2026-02-25,Real Estate,XLRE,0.28
2026-02-25,Energy,XLE,-0.09
2026-02-25,Healthcare,XLV,-0.42
2026-02-25,Technology,XLK,1.92
2026-02-25,Financials,XLF,1.75
2026-02-25,Utilities,XLU,0.34
2026-02-25,Consumer Discretionary,XLY,0.3
2026-02-25,Communication Services,XLC,0.29
2026-02-25,Healthcare,XLV,-0.03
2026-02-25,Energy,XLE,-0.42
2026-02-25,Materials,XLB,-0.56
2026-02-25,Real Estate,XLRE,-0.66
2026-02-25,Industrials,XLI,-0.78
2026-02-25,Consumer Staples,XLP,-0.81
2026-02-26,Technology,XLK,1.92
2026-02-26,Financials,XLF,1.75
2026-02-26,Utilities,XLU,0.34
2026-02-26,Consumer Discretionary,XLY,0.3
2026-02-26,Communication Services,XLC,0.29
2026-02-26,Healthcare,XLV,-0.03
2026-02-26,Energy,XLE,-0.42
2026-02-26,Materials,XLB,-0.56
2026-02-26,Real Estate,XLRE,-0.66
2026-02-26,Industrials,XLI,-0.78
2026-02-26,Consumer Staples,XLP,-0.81
2026-02-26,Financials,XLF,1.21
2026-02-26,Industrials,XLI,0.63
2026-02-26,Real Estate,XLRE,0.44
2026-02-26,Energy,XLE,0.33
2026-02-26,Communication Services,XLC,0.19
2026-02-26,Consumer Discretionary,XLY,-0.03
2026-02-26,Materials,XLB,-0.11
2026-02-26,Consumer Staples,XLP,-0.17
2026-02-26,Healthcare,XLV,-0.26
2026-02-26,Utilities,XLU,-0.38
2026-02-26,Technology,XLK,-1.4
2026-02-27,Financials,XLF,1.21
2026-02-27,Industrials,XLI,0.63
2026-02-27,Real Estate,XLRE,0.44
2026-02-27,Energy,XLE,0.33
2026-02-27,Communication Services,XLC,0.19
2026-02-27,Consumer Discretionary,XLY,-0.03
2026-02-27,Materials,XLB,-0.11
2026-02-27,Consumer Staples,XLP,-0.17
2026-02-27,Healthcare,XLV,-0.26
2026-02-27,Utilities,XLU,-0.38
2026-02-27,Technology,XLK,-1.4
2026-02-27,Healthcare,XLV,1.77
2026-02-27,Energy,XLE,1.58
2026-02-27,Consumer Staples,XLP,1.29
2026-02-27,Utilities,XLU,1.17
2026-02-27,Communication Services,XLC,1.14
2026-02-27,Materials,XLB,0.77
2026-02-27,Real Estate,XLRE,0.48
2026-02-27,Industrials,XLI,0.25
2026-02-27,Consumer Discretionary,XLY,-0.16
2026-02-27,Technology,XLK,-1.6
2026-02-27,Financials,XLF,-2.04
2026-02-28,Healthcare,XLV,1.77
2026-02-28,Energy,XLE,1.58
2026-02-28,Consumer Staples,XLP,1.29
2026-02-28,Utilities,XLU,1.17
2026-02-28,Communication Services,XLC,1.14
2026-02-28,Materials,XLB,0.77
2026-02-28,Real Estate,XLRE,0.48
2026-02-28,Industrials,XLI,0.25
2026-02-28,Consumer Discretionary,XLY,-0.16
2026-02-28,Technology,XLK,-1.6
2026-02-28,Financials,XLF,-2.04
2026-02-28,Healthcare,XLV,1.77
2026-02-28,Energy,XLE,1.58
2026-02-28,Consumer Staples,XLP,1.29
2026-02-28,Utilities,XLU,1.17
2026-02-28,Communication Services,XLC,1.14
2026-02-28,Materials,XLB,0.77
2026-02-28,Real Estate,XLRE,0.48
2026-02-28,Industrials,XLI,0.25
2026-02-28,Consumer Discretionary,XLY,-0.16
2026-02-28,Technology,XLK,-1.6
2026-02-28,Financials,XLF,-2.04
2026-03-01,Healthcare,XLV,1.77
2026-03-01,Energy,XLE,1.58
2026-03-01,Consumer Staples,XLP,1.29
2026-03-01,Utilities,XLU,1.17
2026-03-01,Communication Services,XLC,1.14
2026-03-01,Materials,XLB,0.77
2026-03-01,Real Estate,XLRE,0.48
2026-03-01,Industrials,XLI,0.25
2026-03-01,Consumer Discretionary,XLY,-0.16
2026-03-01,Technology,XLK,-1.6
2026-03-01,Financials,XLF,-2.04
2026-03-01,Healthcare,XLV,1.77
2026-03-01,Energy,XLE,1.58
2026-03-01,Consumer Staples,XLP,1.29
2026-03-01,Utilities,XLU,1.17
2026-03-01,Communication Services,XLC,1.14
2026-03-01,Materials,XLB,0.77
2026-03-01,Real Estate,XLRE,0.48
2026-03-01,Industrials,XLI,0.25
2026-03-01,Consumer Discretionary,XLY,-0.16
2026-03-01,Technology,XLK,-1.6
2026-03-01,Financials,XLF,-2.04
2026-03-02,Healthcare,XLV,1.77
2026-03-02,Energy,XLE,1.58
2026-03-02,Consumer Staples,XLP,1.29
2026-03-02,Utilities,XLU,1.17
2026-03-02,Communication Services,XLC,1.14
2026-03-02,Materials,XLB,0.77
2026-03-02,Real Estate,XLRE,0.48
2026-03-02,Industrials,XLI,0.25
2026-03-02,Consumer Discretionary,XLY,-0.16
2026-03-02,Technology,XLK,-1.6
2026-03-02,Financials,XLF,-2.04
2026-03-02,Energy,XLE,2.0
2026-03-02,Industrials,XLI,0.99
2026-03-02,Technology,XLK,0.56
2026-03-02,Real Estate,XLRE,0.18
2026-03-02,Communication Services,XLC,-0.15
2026-03-02,Financials,XLF,-0.25
2026-03-02,Materials,XLB,-0.3
2026-03-02,Utilities,XLU,-0.75
2026-03-02,Healthcare,XLV,-1.04
2026-03-02,Consumer Discretionary,XLY,-1.23
2026-03-02,Consumer Staples,XLP,-1.44
2026-03-03,Energy,XLE,2.0
2026-03-03,Industrials,XLI,0.99
2026-03-03,Technology,XLK,0.56
2026-03-03,Real Estate,XLRE,0.18
2026-03-03,Communication Services,XLC,-0.15
2026-03-03,Financials,XLF,-0.25
2026-03-03,Materials,XLB,-0.3
2026-03-03,Utilities,XLU,-0.75
2026-03-03,Healthcare,XLV,-1.04
2026-03-03,Consumer Discretionary,XLY,-1.23
2026-03-03,Consumer Staples,XLP,-1.44
2026-03-03,Communication Services,XLC,0.08
2026-03-03,Financials,XLF,-0.18
2026-03-03,Real Estate,XLRE,-0.5
2026-03-03,Utilities,XLU,-0.63
2026-03-03,Energy,XLE,-0.91
2026-03-03,Consumer Discretionary,XLY,-0.92
2026-03-03,Consumer Staples,XLP,-1.09
2026-03-03,Healthcare,XLV,-1.13
2026-03-03,Technology,XLK,-1.46
2026-03-03,Industrials,XLI,-1.93
2026-03-03,Materials,XLB,-2.46
2026-03-04,Communication Services,XLC,0.08
2026-03-04,Financials,XLF,-0.18
2026-03-04,Real Estate,XLRE,-0.5
2026-03-04,Utilities,XLU,-0.63
2026-03-04,Energy,XLE,-0.91
2026-03-04,Consumer Discretionary,XLY,-0.92
2026-03-04,Consumer Staples,XLP,-1.09
2026-03-04,Healthcare,XLV,-1.13
2026-03-04,Technology,XLK,-1.46
2026-03-04,Industrials,XLI,-1.93
2026-03-04,Materials,XLB,-2.46
2026-03-04,Consumer Discretionary,XLY,1.78
2026-03-04,Technology,XLK,1.7
2026-03-04,Communication Services,XLC,0.7
2026-03-04,Financials,XLF,0.57
2026-03-04,Utilities,XLU,0.42
2026-03-04,Industrials,XLI,0.3
2026-03-04,Healthcare,XLV,0.2
2026-03-04,Real Estate,XLRE,0.14
2026-03-04,Materials,XLB,-0.04
2026-03-04,Energy,XLE,-0.58
2026-03-04,Consumer Staples,XLP,-0.66
2026-03-05,Consumer Discretionary,XLY,1.78
2026-03-05,Technology,XLK,1.7
2026-03-05,Communication Services,XLC,0.7
2026-03-05,Financials,XLF,0.57
2026-03-05,Utilities,XLU,0.42
2026-03-05,Industrials,XLI,0.3
2026-03-05,Healthcare,XLV,0.2
2026-03-05,Real Estate,XLRE,0.14
2026-03-05,Materials,XLB,-0.04
2026-03-05,Energy,XLE,-0.58
2026-03-05,Consumer Staples,XLP,-0.66
2026-03-05,Energy,XLE,0.52
2026-03-05,Technology,XLK,0.24
2026-03-05,Consumer Discretionary,XLY,0.14
2026-03-05,Communication Services,XLC,-0.29
2026-03-05,Financials,XLF,-0.52
2026-03-05,Utilities,XLU,-0.78
2026-03-05,Real Estate,XLRE,-0.96
2026-03-05,Healthcare,XLV,-2.0
2026-03-05,Consumer Staples,XLP,-2.01
2026-03-05,Materials,XLB,-2.1
2026-03-05,Industrials,XLI,-2.22
2026-03-06,Energy,XLE,0.52
2026-03-06,Technology,XLK,0.24
2026-03-06,Consumer Discretionary,XLY,0.14
2026-03-06,Communication Services,XLC,-0.29
2026-03-06,Financials,XLF,-0.52
2026-03-06,Utilities,XLU,-0.78
2026-03-06,Real Estate,XLRE,-0.96
2026-03-06,Healthcare,XLV,-2.0
2026-03-06,Consumer Staples,XLP,-2.01
2026-03-06,Materials,XLB,-2.1
2026-03-06,Industrials,XLI,-2.22
2026-03-06,Consumer Staples,XLP,0.43
2026-03-06,Energy,XLE,0.16
2026-03-06,Utilities,XLU,-0.34
2026-03-06,Healthcare,XLV,-0.79
2026-03-06,Communication Services,XLC,-0.83
2026-03-06,Real Estate,XLRE,-1.04
2026-03-06,Industrials,XLI,-1.23
2026-03-06,Financials,XLF,-1.29
2026-03-06,Consumer Discretionary,XLY,-1.81
2026-03-06,Materials,XLB,-1.91
2026-03-06,Technology,XLK,-2.06
2026-03-07,Consumer Staples,XLP,0.43
2026-03-07,Energy,XLE,0.16
2026-03-07,Utilities,XLU,-0.34
2026-03-07,Healthcare,XLV,-0.79
2026-03-07,Communication Services,XLC,-0.83
2026-03-07,Real Estate,XLRE,-1.04
2026-03-07,Industrials,XLI,-1.23
2026-03-07,Financials,XLF,-1.29
2026-03-07,Consumer Discretionary,XLY,-1.81
2026-03-07,Materials,XLB,-1.91
2026-03-07,Technology,XLK,-2.06
2026-03-07,Consumer Staples,XLP,0.43
2026-03-07,Energy,XLE,0.16
2026-03-07,Utilities,XLU,-0.34
2026-03-07,Healthcare,XLV,-0.79
2026-03-07,Communication Services,XLC,-0.83
2026-03-07,Real Estate,XLRE,-1.04
2026-03-07,Industrials,XLI,-1.23
2026-03-07,Financials,XLF,-1.29
2026-03-07,Consumer Discretionary,XLY,-1.81
2026-03-07,Materials,XLB,-1.91
2026-03-07,Technology,XLK,-2.06
2026-03-08,Consumer Staples,XLP,0.43
2026-03-08,Energy,XLE,0.16
2026-03-08,Utilities,XLU,-0.34
2026-03-08,Healthcare,XLV,-0.79
2026-03-08,Communication Services,XLC,-0.83
2026-03-08,Real Estate,XLRE,-1.04
2026-03-08,Industrials,XLI,-1.23
2026-03-08,Financials,XLF,-1.29
2026-03-08,Consumer Discretionary,XLY,-1.81
2026-03-08,Materials,XLB,-1.91
2026-03-08,Technology,XLK,-2.06
2026-03-08,Consumer Staples,XLP,0.43
2026-03-08,Energy,XLE,0.16
2026-03-08,Utilities,XLU,-0.34
2026-03-08,Healthcare,XLV,-0.79
2026-03-08,Communication Services,XLC,-0.83
2026-03-08,Real Estate,XLRE,-1.04
2026-03-08,Industrials,XLI,-1.23
2026-03-08,Financials,XLF,-1.29
2026-03-08,Consumer Discretionary,XLY,-1.81
2026-03-08,Materials,XLB,-1.91
2026-03-08,Technology,XLK,-2.06
2026-03-09,Consumer Staples,XLP,0.43
2026-03-09,Energy,XLE,0.16
2026-03-09,Utilities,XLU,-0.34
2026-03-09,Healthcare,XLV,-0.79
2026-03-09,Communication Services,XLC,-0.83
2026-03-09,Real Estate,XLRE,-1.04
2026-03-09,Industrials,XLI,-1.23
2026-03-09,Financials,XLF,-1.29
2026-03-09,Consumer Discretionary,XLY,-1.81
2026-03-09,Materials,XLB,-1.91
2026-03-09,Technology,XLK,-2.06
2026-03-09,Technology,XLK,1.8
2026-03-09,Healthcare,XLV,1.02
2026-03-09,Industrials,XLI,0.59
2026-03-09,Materials,XLB,0.26
2026-03-09,Utilities,XLU,0.24
2026-03-09,Consumer Staples,XLP,0.22
2026-03-09,Real Estate,XLRE,0.21
2026-03-09,Consumer Discretionary,XLY,0.13
2026-03-09,Communication Services,XLC,0.09
2026-03-09,Energy,XLE,-0.44
2026-03-09,Financials,XLF,-0.47
2026-03-10,Technology,XLK,1.8
2026-03-10,Healthcare,XLV,1.02
2026-03-10,Industrials,XLI,0.59
2026-03-10,Materials,XLB,0.26
2026-03-10,Utilities,XLU,0.24
2026-03-10,Consumer Staples,XLP,0.22
2026-03-10,Real Estate,XLRE,0.21
2026-03-10,Consumer Discretionary,XLY,0.13
2026-03-10,Communication Services,XLC,0.09
2026-03-10,Energy,XLE,-0.44
2026-03-10,Financials,XLF,-0.47
2026-03-10,Technology,XLK,0.0
2026-03-10,Consumer Discretionary,XLY,-0.13
2026-03-10,Real Estate,XLRE,-0.14
2026-03-10,Communication Services,XLC,-0.15
2026-03-10,Materials,XLB,-0.22
2026-03-10,Consumer Staples,XLP,-0.29
2026-03-10,Financials,XLF,-0.54
2026-03-10,Industrials,XLI,-0.54
2026-03-10,Utilities,XLU,-0.62
2026-03-10,Healthcare,XLV,-0.72
